,dt,temperature,humidity
264,2023-05-25 16:32:37.304879+02:00,16.8,66.2
265,2023-05-25 16:33:37.327485+02:00,16.8,66.1
266,2023-05-25 16:34:37.299651+02:00,16.8,66.0
267,2023-05-25 16:35:37.322979+02:00,16.8,66.0
268,2023-05-25 16:36:37.322220+02:00,16.8,65.9
269,2023-05-25 16:37:37.375792+02:00,16.8,65.8
270,2023-05-25 16:38:37.395016+02:00,16.8,65.8
271,2023-05-25 16:39:37.425412+02:00,16.8,65.8
272,2023-05-25 16:40:37.459831+02:00,16.8,65.8
273,2023-05-25 16:41:37.481154+02:00,16.8,65.8
274,2023-05-25 16:42:37.628679+02:00,16.8,65.7
275,2023-05-25 16:43:37.580921+02:00,16.8,65.6
276,2023-05-25 16:44:37.693388+02:00,16.8,65.6
277,2023-05-25 16:45:37.716782+02:00,16.8,65.6
278,2023-05-25 16:46:37.813281+02:00,16.8,65.6
279,2023-05-25 16:47:37.808986+02:00,16.8,65.6
280,2023-05-25 16:48:37.926086+02:00,16.8,65.5
281,2023-05-25 16:49:37.927500+02:00,16.8,65.5
282,2023-05-25 16:50:37.969452+02:00,16.8,65.5
283,2023-05-25 16:51:37.969755+02:00,16.8,65.5
284,2023-05-25 16:52:38.057649+02:00,16.8,65.5
285,2023-05-25 16:53:38.119954+02:00,16.8,65.5
286,2023-05-25 16:54:38.137470+02:00,16.8,65.5
287,2023-05-25 16:55:38.166969+02:00,16.8,65.5
288,2023-05-25 16:56:38.217238+02:00,16.8,66.0
289,2023-05-25 16:57:38.300756+02:00,16.8,66.6
290,2023-05-25 16:58:38.323950+02:00,16.8,67.2
291,2023-05-25 16:59:38.425372+02:00,16.8,67.8
292,2023-05-25 17:00:39.434242+02:00,16.8,68.4
293,2023-05-25 17:01:38.534338+02:00,16.8,69.0
294,2023-05-25 17:02:38.576673+02:00,16.8,69.6
295,2023-05-25 17:03:38.638014+02:00,16.8,70.2
296,2023-05-25 17:04:38.603772+02:00,16.8,70.7
297,2023-05-25 17:05:38.653943+02:00,16.8,71.3
298,2023-05-25 17:06:38.840198+02:00,16.8,71.8
299,2023-05-25 17:07:38.754124+02:00,16.8,72.3
300,2023-05-25 17:08:38.812118+02:00,16.8,72.8
301,2023-05-25 17:09:38.868052+02:00,16.8,73.3
302,2023-05-25 17:10:38.910388+02:00,16.8,73.8
303,2023-05-25 17:11:38.913441+02:00,16.8,74.2
304,2023-05-25 17:12:38.956220+02:00,16.8,74.6
305,2023-05-25 17:13:38.999091+02:00,16.8,75.1
306,2023-05-25 17:14:39.141489+02:00,16.9,75.7
307,2023-05-25 17:15:39.151636+02:00,16.8,76.0
308,2023-05-25 17:16:39.251064+02:00,16.8,76.3
309,2023-05-25 17:17:39.261992+02:00,16.8,76.7
310,2023-05-25 17:18:39.258861+02:00,16.8,77.2
311,2023-05-25 17:19:39.338477+02:00,16.8,77.6
312,2023-05-25 17:20:39.380192+02:00,16.8,78.0
313,2023-05-25 17:21:39.384671+02:00,16.8,78.3
314,2023-05-25 17:22:39.509440+02:00,16.8,78.7
315,2023-05-25 17:23:39.588517+02:00,16.8,78.1
316,2023-05-25 17:24:39.594117+02:00,16.8,74.7
317,2023-05-25 17:25:39.574788+02:00,16.8,72.2
318,2023-05-25 17:26:39.644246+02:00,16.8,70.4
319,2023-05-25 17:27:39.753310+02:00,16.7,69.0
320,2023-05-25 17:28:39.760337+02:00,16.7,68.2
